"Production et recettes brutes du lait, selon le type de marché, Québec (15 août 2018)";"";"";"";"";"";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"03-2010";"k$";"12839,7";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"04-2010";"k$";"12055,9";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"05-2010";"k$";"11614";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"06-2010";"k$";"11660,8";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"07-2010";"k$";"11778";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"08-2010";"k$";"11736,2";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"09-2010";"k$";"11602";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"10-2010";"k$";"11734,7";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"11-2010";"k$";"11465";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"12-2010";"k$";"12112,6";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"01-2011";"k$";"13113,7";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"02-2011";"k$";"11847,2";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"03-2011";"k$";"12812,1";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"04-2011";"k$";"13030,1";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"05-2011";"k$";"12424,6";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"06-2011";"k$";"11979,2";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"07-2011";"k$";"12299,4";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"08-2011";"k$";"12366,4";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"09-2011";"k$";"11804,1";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"10-2011";"k$";"12009,4";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"11-2011";"k$";"11794";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"12-2011";"k$";"12485,3";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"01-2012";"k$";"13761,8";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"02-2012";"k$";"12634,9";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"03-2012";"k$";"13748,2";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"04-2012";"k$";"13107,6";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"05-2012";"k$";"12509,1";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"06-2012";"k$";"12327,6";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"07-2012";"k$";"12406,6";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"08-2012";"k$";"12594,2";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"09-2012";"k$";"12351,8";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"10-2012";"k$";"12907,6";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"11-2012";"k$";"12588,9";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"12-2012";"k$";"13025,3";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"01-2013";"k$";"14310,9";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"02-2013";"k$";"12654,8";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"03-2013";"k$";"13766,4";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"04-2013";"k$";"13678,7";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"05-2013";"k$";"13225,4";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"06-2013";"k$";"12485,7";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"07-2013";"k$";"12757,4";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"08-2013";"k$";"13868,8";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"09-2013";"k$";"13547,4";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"10-2013";"k$";"13706,4";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"11-2013";"k$";"13345,3";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"12-2013";"k$";"13417,2";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"01-2014";"k$";"14640,5";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"02-2014";"k$";"13422,9";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"03-2014";"k$";"13934,8";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"04-2014";"k$";"14607";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"05-2014";"k$";"14196,9";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"06-2014";"k$";"12938,6";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"07-2014";"k$";"13486,4";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"08-2014";"k$";"13669,7";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"09-2014";"k$";"13116,7";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"10-2014";"k$";"13570,3";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"11-2014";"k$";"13212,2";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"12-2014";"k$";"13535,3";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"01-2015";"k$";"14728,8";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"02-2015";"k$";"13118,5";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"03-2015";"k$";"13671,7";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"04-2015";"k$";"14664,3";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"05-2015";"k$";"14259,6";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"06-2015";"k$";"13223,9";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"07-2015";"k$";"13889,3";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"08-2015";"k$";"13417,1";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"09-2015";"k$";"13013,8";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"10-2015";"k$";"13387,2";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"11-2015";"k$";"12910,7";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"12-2015";"k$";"13895";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"01-2016";"k$";"14921,4";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"02-2016";"k$";"13819,3";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"03-2016";"k$";"14511,1";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"04-2016";"k$";"14712,1";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"05-2016";"k$";"13774,7";""
"Frais de mise en marché du lait ";"Total (Nature des frais)";"Québec";"06-2016";"k$";"13189,5";""
