"Production et recettes brutes du lait, selon le type de marché, Québec (15 août 2018)";"";"";"";"";"";"";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"12-2016";"hl";"2696170,54";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"01-2017";"hl";"2758094,82";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"02-2017";"hl";"2522363,11";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"03-2017";"hl";"2808876,53";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"04-2017";"hl";"2726662,21";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"05-2017";"hl";"2812306,86";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"06-2017";"hl";"2697772,72";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"07-2017";"hl";"2763476,06";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"08-2017";"hl";"2762169,96";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"09-2017";"hl";"2676055,1";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"10-2017";"hl";"2761098,77";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"11-2017";"hl";"2681266,46";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"12-2017";"hl";"2809172,41";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"01-2018";"hl";"2852145,58";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"02-2018";"hl";"2627108,38";""
"Production laitière ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"Québec";"03-2018";"hl";"2932078,73";""
