"Production et recettes brutes du lait, selon le type de marché, Québec (15 août 2018)";"";"";"";"";"";"";"";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"05-2012";"$/hl";"79,3491";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"06-2012";"$/hl";"77,3441";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"07-2012";"$/hl";"76,3537";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"08-2012";"$/hl";"76,6782";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"09-2012";"$/hl";"79,322";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"10-2012";"$/hl";"78,0781";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"11-2012";"$/hl";"80,8985";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"12-2012";"$/hl";"82,1076";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"01-2013";"$/hl";"77,761";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"02-2013";"$/hl";"82,8453";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"03-2013";"$/hl";"78,8284";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"04-2013";"$/hl";"76,6196";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"05-2013";"$/hl";"79,1567";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"06-2013";"$/hl";"80,0963";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"07-2013";"$/hl";"79,9917";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"08-2013";"$/hl";"80,1575";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"09-2013";"$/hl";"77,8745";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"10-2013";"$/hl";"82,2327";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"11-2013";"$/hl";"83,6872";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"12-2013";"$/hl";"82,476";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"01-2014";"$/hl";"81,3472";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"02-2014";"$/hl";"83,0372";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"03-2014";"$/hl";"84,9489";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"04-2014";"$/hl";"85,1304";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"05-2014";"$/hl";"83,5815";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"06-2014";"$/hl";"83,9879";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"07-2014";"$/hl";"81,6813";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"08-2014";"$/hl";"81,5817";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"09-2014";"$/hl";"78,3278";""
"Prix moyen du lait ";"Total (Type de production ou marché)";"Total (Composantes laitières)";"..Montant brut";"Québec";"10-2014";"$/hl";"83,5556";""
